,word,chinese
0,arduous,adj.费力的，艰巨的
1,revolution,n.革命；重大变革；巨大变化；旋转
2,semester,n.学期
3,scornful,adj.轻蔑的，鄙视的
4,pharmacy,n.药店；药剂学
5,palatable,adj.美味的，可口的；合意的，认可的
6,recall,v.回忆起，回想起；召回，叫回；收回，撤销
7,rash,adj.鲁莽的，轻率的
8,supervise,v.监督；管理；指导；主管
9,press,n.按; 印刷; 出版社; 新闻界; 报刊; 压平; 熨平; 推动
10,solemn,adj.严肃的，庄严的，正式的；郑重的
11,household,adj.家庭的，家用的；家喻户晓的
12,comic,adj.可笑的，滑稽的；喜剧的
13,cushion,vt.起缓冲作用
14,approximate,adj.大约的，近似的
15,botany,n.植物学；植物
16,cooperative,adj.合作的；配合的
17,supersonic,adj.超音速的
18,graze,v.放牧；吃草；擦伤，擦破（皮肤）
19,adaptable,adj.能适应的；可改编的
20,rehearse,v.预演，排练；默诵；照搬，重复
21,texture,n.质地；纹理；结构
22,upheaval,n.剧变，动乱，大变动
23,endorse,vt.（在支票背面）签名；宣传，代言；签署；赞同，支持
24,thesis,n.论文，学位论文；命题，论题
25,capability,n.能力；性能；容量；潜质
26,reform,v.改革，变革；改正，改过自新
27,preponderance,n.优势
28,prone,adj.平卧的，俯卧的；易于做…的，倾向于…的
29,intriguing,adj.引起兴趣（或好奇心）的，吸引人的
30,episode,n.（电视连续剧或无线电广播剧的）一集；一段经历；一段时期；片段，插曲
31,revive,v.（使）苏醒，复活；重新使用；重新上演
32,negate,vt.取消；否定
33,pump,n.泵
34,ferment,n.发酵；动乱，骚动
35,sheath,n.鞘，外壳；（工具的）套；（电线等的）护皮；紧身连衣裙
36,worship,v.崇敬，崇拜（神）；敬仰，热爱
37,roll,v.（使）滚动，转动；卷，绕；（使）摇摆，（使）摇晃
38,gourmet,adj.美味的
39,announce,v.宣布，公布
40,interstellar,adj.星际的
41,spectacular,adj.壮观的，引人注目的
42,elementary,adj.基本的，初级的
43,encase,vt.包住
44,resolve,"v.决心, 决定;（使）分解, 溶解; 决议; 解决（问题、争端等）"
45,mortgage,n.按揭贷款；抵押；抵押证书
46,entourage,n.〈总称〉随从，随行人员
47,immunity,n.免疫力；保护；免除，豁免
48,plankton,n.浮游生物
49,grim,adj.忧愁的，令人沮丧的；严肃的，令人不快的，冷酷的；糟糕的；残忍的
50,boon,n.恩惠，恩赐；益处
51,trench,n.沟，沟渠；战壕；海沟
52,deploy,vt.部署，调度（军队等）；利用
53,slash,v.砍；大幅削减
54,kindle,v.开始燃烧；点燃；激起（兴趣、感情等）
55,clump,n.丛，簇，束；块，团；群，组
56,outweigh,vt.（在重量、价值、影响等上）超过
57,bountiful,adj.慷慨的；大量的，充足的
58,shatter,v.打碎；粉碎，使终结，使破灭
59,liquid,adj.液体的，液态的，流体的；清澈的；流畅的
60,canal,"n.运河; 沟渠; (动植物体内的)管, 道"
61,perspective,n.角度；看法；透视
62,stratum,n.岩层，地层；社会阶层
63,restraint,"n.抑制, 克制; 限制; 约束, 阻止; 约束力; 管制措施; 监禁; 安全装置; 安全带"
64,alloy,vt.使成合金
65,enunciate,v.清晰地发音；表达，阐明
66,deteriorate,v.变坏，恶化；变质
67,reproduce,v.生殖，繁殖；复制；再现
68,innovative,adj.革新的，创新的；富有革新精神的
69,ephemeral,adj.短暂的，转瞬即逝的
70,exhibit,v.展览，展出；显示
71,wintry,adj.冬天（似）的；寒冷的；冷淡的
72,sprout,v.发芽，抽条，生长；迅速出现，涌现出
73,sanitation,n.卫生；卫生设施，卫生设备
74,gamble,v.冒风险；碰运气；以…为赌注
75,specify,v.明确说明；具体指定；详细说明
76,acquiesce,vi.默许，默认
77,diminish,v.减少，减弱，降低；贬低，贬损；轻视
78,pole,n.杆子；地极；磁极
79,laundry,n.洗衣物的活；洗衣店；要洗或洗过的衣服
80,sour,v.（使）变酸；（使）变馊；（使）变坏，恶化
81,endow,v.向（院校、医院等）捐款，捐赠；使具有某种品质
82,cohere,vi.连贯，一致；黏合；齐心协力，团结一致
83,spectator,n.（体育比赛的）观众
84,furious,adj.狂怒的，暴怒的；激烈的，猛烈的
85,release,v.释放；发布，公布；出院
86,sensational,adj.轰动性的，引起哗然的，耸人听闻的；〈口〉极好的，绝妙的
87,slight,"adj.少量的; 轻微的; 极不重要的, 不足道的; 纤细的; 瘦小的; 不结实的; 不牢靠的"
88,liable,adj.有…倾向；有义务的，应负责的
89,swoop,n.突然行动
90,quota,n.配额，限额，定额
91,rhinoceros,n.犀牛
92,hitherto,adv.迄今，至今
93,satire,n.讽刺文学，讽刺作品；讽刺
94,librarian,n.图书馆馆长；图书管理员
95,aberrant,adj.越轨的；异常的
96,velocity,n.速度，速率；高速
97,detergent,n.清洁剂
98,codify,vt.把…编成法典，使法律成文化；整理，系统化
99,blues,n.布鲁斯音乐，蓝调
100,readily,adv.乐意地，欣然地；轻松地，容易地
101,modest,"adj.谦虚的, 谦逊的; 适度的, 适中的; 朴素的; 不太大的, 不显著的, 较小的"
102,liberate,vt.解放；释放
103,singular,adj.单数的；非凡的，突出的；奇特的，异常的
104,series,n.系列，连续；连续剧
105,meantime,n.其时，同时
106,dissimulate,v.掩盖，掩饰，假装
107,mechanize,vt.使机械化
108,transplant,v.移植；移栽；移居，迁居
109,obligate,vt.使负义务，强迫
110,landmark,n.路标，地标；〈喻〉里程碑
111,nicotine,n.尼古丁
112,estate,"n.地产, 财产, 遗产; 庄园; 工业区; 商业区; 住宅区; 阶层, 社会地位; (人生)阶段, 状况"
113,boast,v.自我夸耀
114,laureate,n.桂冠诗人；荣誉获得者
115,bleak,adj.阴冷的；无望的，令人沮丧的；乏味的；荒凉的
116,generalize,v.概括；归纳；推广
117,subsist,vi.存活，生存
